"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","বরফের হোগায় বাঁশ ঢুকায় নাম রাখছে ""আইসক্রিম""!
জনগণের হোগায় বাঁশ ঢুকায় নাম রাখছে ""গণতন্ত্র""!
:
#FreeKhaleda… https://t.co/jwUGhW3QUv",FALSE,1,"jafor_the_great",2018-03-09 13:19:40,TRUE,"972099577217130496","972099601149739008","871379009187139584","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jafor_the_great",0,FALSE,FALSE,NA,NA
"2","RT @appelmahmud7: I am Appel, demand immediate release of BNP Chairperson and former PM DeshNetri Begum Khaleda Zia. @BegumZiaBd

#FreeKhal…",FALSE,0,NA,2018-03-09 11:48:23,FALSE,NA,"972076630184157185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OnimMahamood",27,TRUE,FALSE,NA,NA
"3","@bnpbangladesh #FreeKhaleda
#FreeKhaledaZia",FALSE,2,"bnpbangladesh",2018-03-08 20:38:20,FALSE,"971682502053052416","971847607231307776","220758622","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jafor_the_great",0,FALSE,FALSE,NA,NA
"4","RT @Abdullahramu: #Bangladesh wants @BegumZiaBd free but #AwamiLeague does not.We demand her unconditional release.
@BBCWorld @CNN @Reuters…",FALSE,0,NA,2018-03-08 17:31:50,FALSE,NA,"971800672130617345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDZakirHowlade1",12,TRUE,FALSE,NA,NA
"5","RT @MJ_Riya: I am Riya, demand immediate release of BNP Chairperson and former PM DeshNetri Begum Khaleda Zia. (@BegumZiaBd) 

#FreeKhaleda…",FALSE,0,NA,2018-03-08 03:48:22,FALSE,NA,"971593441539837954",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MdAlami29457704",30,TRUE,FALSE,NA,NA
"6","RT @MJ_Riya: I am Riya, demand immediate release of BNP Chairperson and former PM DeshNetri Begum Khaleda Zia. (@BegumZiaBd) 

#FreeKhaleda…",FALSE,0,NA,2018-03-08 03:43:07,FALSE,NA,"971592121344868353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",30,TRUE,FALSE,NA,NA
"7","RT @MJ_Riya: I am @mjriya3, demand immediate release of BNP Chairperson and former PM DeshNetri Begum Khaleda Zia. (@BegumZiaBd) 

#FreeKha…",FALSE,0,NA,2018-03-08 03:43:02,FALSE,NA,"971592100067262464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",19,TRUE,FALSE,NA,NA
"8","RT @MJ_Riya: #FreeKhaledaZia
#FreeKhaleda_SaveBangladesh 
#FreeFighterOfdemocracy

https://t.co/f05CpEuWlE",FALSE,0,NA,2018-03-08 03:42:56,FALSE,NA,"971592074817449985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",13,TRUE,FALSE,NA,NA
"9","RT @MMCmilon: ছবিটি 1990 সালের কিছু দিন আগে হবে।স্বৈরাচার এরশাদ সরকার বিরোধী আন্দোলনের শেষ সময় ছাত্রদলকে সরাসরি রাজপথে থেকে নেতৃত্ব দিচ্ছে…",FALSE,0,NA,2018-03-07 13:20:26,FALSE,NA,"971375019640086528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDShahA88632759",24,TRUE,FALSE,NA,NA
"10","RT @khaledchow1: Attack on Jaffor Iqbal is another Awami league’s attempt to undermine democracy in Bangladesh and prolonging Hsanina’s dic…",FALSE,0,NA,2018-03-07 08:57:29,FALSE,NA,"971308843970985986",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moniruj18455738",8,TRUE,FALSE,NA,NA
"11","@bnpbangladesh #FreeKhaleda
#FreeKhaledaZia",FALSE,0,"bnpbangladesh",2018-03-07 08:25:42,FALSE,"970979088427921409","971300847819874309","220758622","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jafor_the_great",0,FALSE,FALSE,NA,NA
"12","@NasimulK @BBCBreaking @BBCNews @BBCWorld @cnnbrk @cnni @CNN @UNHumanRights @UNICEF @UN @UN_Women @UN_News_Centre… https://t.co/KoEBCFZfrX",FALSE,0,"NasimulK",2018-03-07 07:46:57,TRUE,"971104087952338944","971291095593308160","2451153099","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AjijKha61671381",0,FALSE,FALSE,NA,NA
"13","RT @khaledchow1: Attack on Jaffor Iqbal is another Awami league’s attempt to undermine democracy in Bangladesh and prolonging Hsanina’s dic…",FALSE,0,NA,2018-03-07 04:28:45,FALSE,NA,"971241217739640832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDShahA90680368",8,TRUE,FALSE,NA,NA
"14","RT @Afros1980: #Bangladesh wants @BegumZiaBd free but #AwamiLeague does not.We demand her unconditional release.
@BBCWorld @CNN @Reuters @A…",FALSE,0,NA,2018-03-06 19:46:53,FALSE,NA,"971109883901890560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonjuAlom1",1,TRUE,FALSE,NA,NA
"15","RT @Afros1980: I am Zul Afros, demand immediate release of BNP Chairperson and former PM DeshNetri Begum Khaleda Zia. (@BegumZiaBd) 

#Free…",FALSE,0,NA,2018-03-06 19:46:24,FALSE,NA,"971109764636774401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonjuAlom1",1,TRUE,FALSE,NA,NA
"16","RT @FirozMa59892988: #SOS_Bangladesh
The government set #KhaledaZia jail by fake instigation. they killed opposition leader and workers by…",FALSE,0,NA,2018-03-06 19:39:14,FALSE,NA,"971107960142417920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonjuAlom1",9,TRUE,FALSE,NA,NA
"17","RT @HasanMahedi20: #SOS_Bangladesh
The government set #KhaledaZia jail by fake instigation. they killed opposition leader and workers by us…",FALSE,0,NA,2018-03-06 19:27:44,FALSE,NA,"971105066303262720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonjuAlom1",9,TRUE,FALSE,NA,NA
"18","RT @SaifulI34409657: 3 times Prime Minister of Bangladesh, #Khaledazia,72 yrs old,has been kept in a worn out sell,without division facilit…",FALSE,0,NA,2018-03-06 14:41:16,FALSE,NA,"971032974752993280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDShahA90680368",1,TRUE,FALSE,NA,NA
"19","RT @MDShahA88632759: @mreza07 @UN @POTUS @hrw @AJENews @cnni @Europarl_EN @BBCNews @Wahiduzzaman21 #SOS_Bangladesh
The government set #Khal…",FALSE,0,NA,2018-03-06 12:35:33,FALSE,NA,"971001335922520064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sowkat31182181",13,TRUE,FALSE,NA,NA
"20","RT @dalim1975: 3 times Prime Minister of Bangladesh #Khaledazia, 72 yrs old, is not given the facilities she deserves as a former PM in jai…",FALSE,0,NA,2018-03-06 06:24:29,FALSE,NA,"970907952881139712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDShahA88632759",135,TRUE,FALSE,NA,NA
"21","RT @dalim1975: #Bangladesh wants @BegumZiaBd free but #AwamiLeague does not.We demand her unconditional release.
@BBCWorld @CNN @Reuters @A…",FALSE,0,NA,2018-03-06 06:24:16,FALSE,NA,"970907898057449472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDShahA88632759",112,TRUE,FALSE,NA,NA
