"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","বরফের হোগায় বাঁশ ঢুকায় নাম রাখছে ""আইসক্রিম""!
জনগণের হোগায় বাঁশ ঢুকায় নাম রাখছে ""গণতন্ত্র""!
:
#FreeKhaleda… https://t.co/jwUGhW3QUv",FALSE,1,"jafor_the_great",2018-03-09 13:19:40,TRUE,"972099577217130496","972099601149739008","871379009187139584","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jafor_the_great",0,FALSE,FALSE,NA,NA
"2","@bnpbangladesh #FreeKhaleda
#FreeKhaledaZia",FALSE,2,"bnpbangladesh",2018-03-08 20:38:20,FALSE,"971682502053052416","971847607231307776","220758622","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jafor_the_great",0,FALSE,FALSE,NA,NA
"3","@bnpbangladesh #FreeKhaleda
#FreeKhaledaZia",FALSE,0,"bnpbangladesh",2018-03-07 08:25:42,FALSE,"970979088427921409","971300847819874309","220758622","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jafor_the_great",0,FALSE,FALSE,NA,NA
"4","@NasimulK @BBCBreaking @BBCNews @BBCWorld @cnnbrk @cnni @CNN @UNHumanRights @UNICEF @UN @UN_Women @UN_News_Centre… https://t.co/KoEBCFZfrX",FALSE,0,"NasimulK",2018-03-07 07:46:57,TRUE,"971104087952338944","971291095593308160","2451153099","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AjijKha61671381",0,FALSE,FALSE,NA,NA
"5","Attack on Jaffor Iqbal is another Awami league’s attempt to undermine democracy in Bangladesh and prolonging Hsanin… https://t.co/x9ZKFuxVik",FALSE,2,"NazmultotolH",2018-03-04 05:30:32,TRUE,"970169597209935872","970169600590540800","2269061682","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NazmultotolH",2,FALSE,FALSE,NA,NA
"6","#Bangladesh wants @BegumZiaBd free but #AwamiLeague does not.We demand her unconditional release.
@BBCWorld @CNN… https://t.co/cwU2m3JTYF",FALSE,29,NA,2018-03-04 05:29:39,TRUE,NA,"970169377084461056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NazmultotolH",12,FALSE,FALSE,NA,NA
"7","Attack on Jaffor Iqbal is another Awami league’s attempt to undermine democracy in Bangladesh and prolonging Hsanin… https://t.co/foYn7e9mRC",FALSE,8,NA,2018-03-04 01:53:38,TRUE,NA,"970115015083687936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","khaledchow1",8,FALSE,FALSE,NA,NA
"8","#FreeKhaleda 
@BegumZiaBd 
#Bangladesh https://t.co/V2A3UIviRm",FALSE,0,NA,2018-03-02 10:14:28,FALSE,NA,"969516278774812672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MMCmilon",1,FALSE,FALSE,NA,NA
"9","#Bangladesh wants @BegumZiaBd free but #AwamiLeague does not.We demand her unconditional release.
@BBCWorld @CNN… https://t.co/4HElNQyTwU",FALSE,28,NA,2018-03-01 23:40:51,TRUE,NA,"969356826339889152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Abdullahramu",12,FALSE,FALSE,NA,NA
"10","@Meer_Zahan_ @TheEconomist @AJEnglish @nytimes @UN_HRC @hrw @UNHumanRights #FreeKhaledaZia
#FreeKhaleda… https://t.co/ydmsQAJ0Y0",FALSE,1,"Meer_Zahan_",2018-03-01 19:07:42,TRUE,"967432307958153217","969288085119930369","3136536331","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonjuAlom1",0,FALSE,FALSE,NA,NA
"11","#FreeKhaledaZia
#FreeKhaleda
#FreeKhaleda_SaveBangladesh
#NoElectionWithoutKhaleda
#SaveBangladesh
#savedemocracy",FALSE,5,NA,2018-03-01 19:05:47,FALSE,NA,"969287601965490177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonjuAlom1",2,FALSE,FALSE,NA,NA
"12","মিথ্যা, রাজনৈতিক উদ্দেশ্যপ্রণোদিত মামলায় কারাগারে বন্দি দেশনেত্রী বেগম খালেদা জিয়ার নি:শর্ত মুক্তির দাবিতে সারা… https://t.co/1uXZbMGV4W",FALSE,7,NA,2018-03-01 12:39:58,TRUE,NA,"969190507854282752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jafor_the_great",0,FALSE,FALSE,NA,NA
"13","Symbol of #Bangladesh except ruling and their alience. Innocent people are being arrested just because of oppositio… https://t.co/44H67x5xS2",FALSE,8,NA,2018-02-28 12:53:53,TRUE,NA,"968831620798017537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SikderChk",6,FALSE,FALSE,NA,NA
"14","#bangladeshi wants @BegumZiaBd free but #AwamiLeague does not.We demand her unconditional release.
@BBCWorld @CNN… https://t.co/unaAd184df",FALSE,12,NA,2018-02-28 10:14:04,TRUE,NA,"968791402875273216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NazmultotolH",6,FALSE,FALSE,NA,NA
