"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","“Those who are thinking of holding an election with #KhaledaZia behind bars are living in a fools paradise,” Mirza… https://t.co/93jasjuoQV",FALSE,1,NA,2018-03-09 20:29:35,TRUE,NA,"972207792999280640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hmfaruq",0,FALSE,FALSE,NA,NA
"2","#FreeKhaledaZia #স্বৈরাচার_নিপাত_যাক #গণতন্ত্র_মুক্তি_পাক 
https://t.co/bnGGXt3Naa",FALSE,0,NA,2018-03-09 19:09:54,FALSE,NA,"972187740539297792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sagir42",0,FALSE,FALSE,NA,NA
"3","A person has been released by court after smuggling 165 cr TK. But just for 4 cr Chairperson of Bangladesh National… https://t.co/c7bzkVqZYi",FALSE,0,NA,2018-03-09 19:01:09,TRUE,NA,"972185537871097856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","i_am_Taher",0,FALSE,FALSE,NA,NA
"4","Sexually Assaulted a #SchoolGirl by a group of #awamileague activities in #Dhaka #Bangladesh That girl was waiting… https://t.co/HMqH9Q4gub",FALSE,1,NA,2018-03-09 17:32:23,TRUE,NA,"972163200807452672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KamranRajib",3,FALSE,FALSE,NA,NA
"5","#Bangladesh oppositional  JCD north president s.m mizanur rahman being dragged by detectives from a peaceful sit-in… https://t.co/mxLUxjUNNn",FALSE,7,NA,2018-03-09 17:27:54,TRUE,NA,"972162072955023366",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mintu_bhuiyan",0,FALSE,FALSE,NA,NA
"6","#Stop using the state armed forces against innocent people of the country.
#Stop arrest &amp; Stop killing democratic a… https://t.co/CntA0gyQAO",FALSE,2,NA,2018-03-09 17:10:20,TRUE,NA,"972157653106409472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mujahid55764796",0,FALSE,FALSE,NA,NA
"7","#FreeKhaledaZia https://t.co/XvmxlebV3U",FALSE,0,NA,2018-03-09 17:00:19,FALSE,NA,"972155131297914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"8","#FreeKhaledaZia https://t.co/q59vC2yG2s",FALSE,3,NA,2018-03-09 17:00:05,FALSE,NA,"972155072753774593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haidersuman",0,FALSE,FALSE,NA,NA
"9","A person has been released by court after smuggling 165 cr TK. But just for 4 cr Chairperson od Bangladesh National… https://t.co/oys1k60Vll",FALSE,3,NA,2018-03-09 16:29:25,TRUE,NA,"972147353435156480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Swalehinkc",0,FALSE,FALSE,NA,NA
"10","Continuous repression in the name of democracy
#FreeKhaledaZia @POTUS @PMcanadien  @borisjohnson @HillaryClinton… https://t.co/awNWTF2QCY",FALSE,5,NA,2018-03-09 15:51:39,TRUE,NA,"972137849079369729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nurulamin48",5,FALSE,FALSE,NA,NA
